phase,analysis,gene1,gene2,dataset,method,status,pdf_path,timestamp
1,heme_consecutive,ALAD,HMBS,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_consecutive__ALAD_vs_HMBS__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:12:38
1,heme_consecutive,HMBS,UROS,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_consecutive__HMBS_vs_UROS__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:12:43
1,heme_consecutive,UROS,UROD,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_consecutive__UROS_vs_UROD__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:12:50
1,heme_consecutive,UROD,CPOX,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_consecutive__UROD_vs_CPOX__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:12:56
1,heme_consecutive,CPOX,PPOX,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_consecutive__CPOX_vs_PPOX__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:02
1,heme_consecutive,PPOX,FECH,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_consecutive__PPOX_vs_FECH__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:08
1,heme_nonconsecutive,HMBS,FECH,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_nonconsecutive__HMBS_vs_FECH__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:11
1,heme_nonconsecutive,ALAS1,FECH,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_nonconsecutive__ALAS1_vs_FECH__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:16
1,heme_nonconsecutive,HMBS,PPOX,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__heme_nonconsecutive__HMBS_vs_PPOX__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:20
1,chromatin_vs_heme,H2AFZ,ALAS1,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_ALAS1__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:26
1,chromatin_vs_heme,H2AFZ,ALAD,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_ALAD__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:29
1,chromatin_vs_heme,H2AFZ,HMBS,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_HMBS__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:34
1,chromatin_vs_heme,H2AFZ,UROS,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_UROS__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:38
1,chromatin_vs_heme,H2AFZ,UROD,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_UROD__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:43
1,chromatin_vs_heme,H2AFZ,CPOX,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_CPOX__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:48
1,chromatin_vs_heme,H2AFZ,PPOX,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_PPOX__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:52
1,chromatin_vs_heme,H2AFZ,FECH,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_FECH__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:56
1,chromatin_vs_heme,ATAD2,ALAS1,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:13:59
1,chromatin_vs_heme,ATAD2,ALAD,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:14:05
1,chromatin_vs_heme,ATAD2,HMBS,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:14:08
1,chromatin_vs_heme,ATAD2,UROS,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_UROS__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:14:14
1,chromatin_vs_heme,ATAD2,UROD,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_UROD__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:14:18
1,chromatin_vs_heme,ATAD2,CPOX,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:14:24
1,chromatin_vs_heme,ATAD2,PPOX,Adipose_Subcutaneous,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_PPOX__Adipose_Subcutaneous__spearman.pdf,2026-09-11T12:14:27
1,heme_consecutive,ALAS1,ALAD,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__ALAS1_vs_ALAD__BLCA_Normal__spearman.pdf,2026-09-11T12:22:10
1,heme_consecutive,ALAD,HMBS,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__ALAD_vs_HMBS__BLCA_Normal__spearman.pdf,2026-09-11T12:22:12
1,heme_consecutive,HMBS,UROS,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__HMBS_vs_UROS__BLCA_Normal__spearman.pdf,2026-09-11T12:22:15
1,heme_consecutive,UROS,UROD,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__UROS_vs_UROD__BLCA_Normal__spearman.pdf,2026-09-11T12:22:19
1,heme_consecutive,UROD,CPOX,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__UROD_vs_CPOX__BLCA_Normal__spearman.pdf,2026-09-11T12:22:21
1,heme_consecutive,CPOX,PPOX,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__CPOX_vs_PPOX__BLCA_Normal__spearman.pdf,2026-09-11T12:22:24
1,heme_consecutive,PPOX,FECH,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__PPOX_vs_FECH__BLCA_Normal__spearman.pdf,2026-09-11T12:22:28
1,heme_nonconsecutive,HMBS,FECH,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_nonconsecutive__HMBS_vs_FECH__BLCA_Normal__spearman.pdf,2026-09-11T12:22:31
1,heme_nonconsecutive,ALAS1,FECH,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_nonconsecutive__ALAS1_vs_FECH__BLCA_Normal__spearman.pdf,2026-09-11T12:22:33
1,heme_nonconsecutive,HMBS,PPOX,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_nonconsecutive__HMBS_vs_PPOX__BLCA_Normal__spearman.pdf,2026-09-11T12:22:37
1,chromatin_vs_heme,H2AFZ,ALAS1,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_ALAS1__BLCA_Normal__spearman.pdf,2026-09-11T12:22:40
1,chromatin_vs_heme,H2AFZ,ALAD,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_ALAD__BLCA_Normal__spearman.pdf,2026-09-11T12:22:43
1,chromatin_vs_heme,H2AFZ,HMBS,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_HMBS__BLCA_Normal__spearman.pdf,2026-09-11T12:22:48
1,chromatin_vs_heme,H2AFZ,UROS,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_UROS__BLCA_Normal__spearman.pdf,2026-09-11T12:22:52
1,chromatin_vs_heme,H2AFZ,UROD,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_UROD__BLCA_Normal__spearman.pdf,2026-09-11T12:22:55
1,chromatin_vs_heme,H2AFZ,CPOX,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_CPOX__BLCA_Normal__spearman.pdf,2026-09-11T12:22:58
1,chromatin_vs_heme,H2AFZ,PPOX,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_PPOX__BLCA_Normal__spearman.pdf,2026-09-11T12:23:02
1,chromatin_vs_heme,H2AFZ,FECH,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_FECH__BLCA_Normal__spearman.pdf,2026-09-11T12:23:05
1,chromatin_vs_heme,ATAD2,ALAS1,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__BLCA_Normal__spearman.pdf,2026-09-11T12:23:10
1,chromatin_vs_heme,ATAD2,ALAD,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__BLCA_Normal__spearman.pdf,2026-09-11T12:23:12
1,chromatin_vs_heme,ATAD2,HMBS,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__BLCA_Normal__spearman.pdf,2026-09-11T12:23:16
1,chromatin_vs_heme,ATAD2,UROS,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_UROS__BLCA_Normal__spearman.pdf,2026-09-11T12:23:21
1,chromatin_vs_heme,ATAD2,UROD,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_UROD__BLCA_Normal__spearman.pdf,2026-09-11T12:23:26
1,chromatin_vs_heme,ATAD2,CPOX,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__BLCA_Normal__spearman.pdf,2026-09-11T12:23:29
1,chromatin_vs_heme,ATAD2,PPOX,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_PPOX__BLCA_Normal__spearman.pdf,2026-09-11T12:23:32
1,chromatin_vs_heme,ATAD2,FECH,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_FECH__BLCA_Normal__spearman.pdf,2026-09-11T12:23:36
1,chromatin_vs_heme,BRD4,ALAS1,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD4_vs_ALAS1__BLCA_Normal__spearman.pdf,2026-09-11T12:23:41
1,chromatin_vs_heme,BRD4,ALAD,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD4_vs_ALAD__BLCA_Normal__spearman.pdf,2026-09-11T12:23:45
1,chromatin_vs_heme,BRD4,HMBS,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD4_vs_HMBS__BLCA_Normal__spearman.pdf,2026-09-11T12:23:48
1,chromatin_vs_heme,BRD4,UROS,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD4_vs_UROS__BLCA_Normal__spearman.pdf,2026-09-11T12:23:52
1,chromatin_vs_heme,BRD4,UROD,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD4_vs_UROD__BLCA_Normal__spearman.pdf,2026-09-11T12:23:55
1,chromatin_vs_heme,BRD4,CPOX,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD4_vs_CPOX__BLCA_Normal__spearman.pdf,2026-09-11T12:23:59
1,chromatin_vs_heme,BRD4,PPOX,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD4_vs_PPOX__BLCA_Normal__spearman.pdf,2026-09-11T12:24:02
1,chromatin_vs_heme,BRD4,FECH,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD4_vs_FECH__BLCA_Normal__spearman.pdf,2026-09-11T12:24:05
1,chromatin_vs_heme,BRD2,ALAS1,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD2_vs_ALAS1__BLCA_Normal__spearman.pdf,2026-09-11T12:24:08
1,chromatin_vs_heme,BRD2,ALAD,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD2_vs_ALAD__BLCA_Normal__spearman.pdf,2026-09-11T12:24:13
1,chromatin_vs_heme,BRD2,HMBS,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD2_vs_HMBS__BLCA_Normal__spearman.pdf,2026-09-11T12:24:17
1,chromatin_vs_heme,BRD2,UROS,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD2_vs_UROS__BLCA_Normal__spearman.pdf,2026-09-11T12:24:20
1,chromatin_vs_heme,BRD2,UROD,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD2_vs_UROD__BLCA_Normal__spearman.pdf,2026-09-11T12:24:23
1,chromatin_vs_heme,BRD2,CPOX,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD2_vs_CPOX__BLCA_Normal__spearman.pdf,2026-09-11T12:24:26
1,chromatin_vs_heme,BRD2,PPOX,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD2_vs_PPOX__BLCA_Normal__spearman.pdf,2026-09-11T12:24:31
1,chromatin_vs_heme,BRD2,FECH,BLCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__BRD2_vs_FECH__BLCA_Normal__spearman.pdf,2026-09-11T12:24:35
1,heme_consecutive,ALAS1,ALAD,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__ALAS1_vs_ALAD__BRCA_Normal__spearman.pdf,2026-09-11T12:24:39
1,heme_consecutive,ALAD,HMBS,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__ALAD_vs_HMBS__BRCA_Normal__spearman.pdf,2026-09-11T12:24:43
1,heme_consecutive,HMBS,UROS,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__HMBS_vs_UROS__BRCA_Normal__spearman.pdf,2026-09-11T12:24:47
1,heme_consecutive,UROS,UROD,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__UROS_vs_UROD__BRCA_Normal__spearman.pdf,2026-09-11T12:24:49
1,heme_consecutive,UROD,CPOX,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__UROD_vs_CPOX__BRCA_Normal__spearman.pdf,2026-09-11T12:24:52
1,heme_consecutive,CPOX,PPOX,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__CPOX_vs_PPOX__BRCA_Normal__spearman.pdf,2026-09-11T12:24:54
1,heme_consecutive,PPOX,FECH,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_consecutive__PPOX_vs_FECH__BRCA_Normal__spearman.pdf,2026-09-11T12:24:58
1,heme_nonconsecutive,HMBS,FECH,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_nonconsecutive__HMBS_vs_FECH__BRCA_Normal__spearman.pdf,2026-09-11T12:25:03
1,heme_nonconsecutive,ALAS1,FECH,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_nonconsecutive__ALAS1_vs_FECH__BRCA_Normal__spearman.pdf,2026-09-11T12:25:07
1,heme_nonconsecutive,HMBS,PPOX,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__heme_nonconsecutive__HMBS_vs_PPOX__BRCA_Normal__spearman.pdf,2026-09-11T12:25:10
1,chromatin_vs_heme,H2AFZ,ALAS1,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_ALAS1__BRCA_Normal__spearman.pdf,2026-09-11T12:25:13
1,chromatin_vs_heme,H2AFZ,ALAD,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_ALAD__BRCA_Normal__spearman.pdf,2026-09-11T12:25:16
1,chromatin_vs_heme,H2AFZ,HMBS,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_HMBS__BRCA_Normal__spearman.pdf,2026-09-11T12:25:20
1,chromatin_vs_heme,H2AFZ,UROS,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_UROS__BRCA_Normal__spearman.pdf,2026-09-11T12:25:23
1,chromatin_vs_heme,H2AFZ,UROD,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_UROD__BRCA_Normal__spearman.pdf,2026-09-11T12:25:28
1,chromatin_vs_heme,H2AFZ,CPOX,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_CPOX__BRCA_Normal__spearman.pdf,2026-09-11T12:25:33
1,chromatin_vs_heme,H2AFZ,PPOX,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_PPOX__BRCA_Normal__spearman.pdf,2026-09-11T12:25:35
1,chromatin_vs_heme,H2AFZ,FECH,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__H2AFZ_vs_FECH__BRCA_Normal__spearman.pdf,2026-09-11T12:25:38
1,chromatin_vs_heme,ATAD2,ALAS1,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__BRCA_Normal__spearman.pdf,2026-09-11T12:25:42
1,chromatin_vs_heme,ATAD2,ALAD,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__BRCA_Normal__spearman.pdf,2026-09-11T12:25:45
1,chromatin_vs_heme,ATAD2,HMBS,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__BRCA_Normal__spearman.pdf,2026-09-11T12:25:50
1,chromatin_vs_heme,ATAD2,UROS,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_UROS__BRCA_Normal__spearman.pdf,2026-09-11T12:25:53
1,chromatin_vs_heme,ATAD2,UROD,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_UROD__BRCA_Normal__spearman.pdf,2026-09-11T12:25:57
1,chromatin_vs_heme,ATAD2,CPOX,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__BRCA_Normal__spearman.pdf,2026-09-11T12:25:59
1,chromatin_vs_heme,ATAD2,PPOX,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_PPOX__BRCA_Normal__spearman.pdf,2026-09-11T12:26:03
1,chromatin_vs_heme,ATAD2,FECH,BRCA_Normal,spearman,success,./gepia_pdfs/ph1__chromatin_vs_heme__ATAD2_vs_FECH__BRCA_Normal__spearman.pdf,2026-09-11T12:26:08
